,ROLLYEAR,Mail Zipcode,new business count,pct_change,median land value price
891,2014,94140,11.0,-0.28134719895113947,156768.0
439,2013,94015,11.0,0.08180915450374737,97504.0
1005,2013,94402,11.0,0.2807965829677317,176768.5
899,2014,94141,11.0,-0.004587173140509826,132912.0
1833,2013,94965,10.0,0.0690841190996796,264516.0
1161,2014,94526,10.0,0.03198241758241749,234776.0
412,2010,94010,10.0,0.0717766017114585,171025.0
926,2009,94158,10.0,-0.6841721749612196,127861.0
430,2012,94014,10.0,0.10147893636092031,110599.5
1834,2014,94965,10.0,0.08849748219389375,287925.0
606,2013,94066,10.0,0.07763269018384977,99528.0
1262,2011,94547,10.0,0.012894387481286795,35859.5
824,2011,94126,10.0,-0.1601318189290103,214588.0
1636,2014,94707,10.0,0.02445219337896587,237970.0
1022,2014,94404,10.0,0.20242106407260474,177006.0
990,2014,94306,10.0,0.17081925839642786,301544.5
849,2012,94129,10.0,0.2656315705671255,310000.0
781,2011,94119,10.0,0.0550180553352686,286027.0
1525,2014,94606,10.0,-0.0006180815562428776,196454.5
1687,2011,94901,10.0,0.011632015312685429,147457.0
1012,2012,94403,10.0,0.029636683692609633,71360.0
1010,2010,94403,10.0,-0.0757637907722225,60836.0
1714,2014,94920,10.0,0.1924379652605459,288331.5
1289,2014,94552,9.0,0.16596101706765687,225129.0
1270,2011,94549,9.0,0.024329387445293227,126855.0
1689,2013,94901,9.0,0.09390598807246264,175538.0
80,2009,60606,9.0,0.0199727375096308,17210.0
914,2013,94146,9.0,-0.0742378672931936,215928.0
1693,2009,94903,9.0,0.012793330417790072,91476.0
1475,2012,94596,9.0,0.019998284881228123,118942.0
1477,2014,94596,9.0,0.004531099255399074,121822.5
1367,2012,94566,9.0,0.6192548706847443,71061.0
1480,2009,94597,9.0,-0.16376792845956312,151909.5
1483,2012,94597,9.0,-0.04768820948878849,144250.0
929,2012,94158,9.0,0.018096567225361904,331563.0
944,2011,94164,9.0,0.04980584901700125,300097.5
1003,2011,94402,9.0,0.11793756742179062,132650.0
1573,2014,94612,9.0,0.2432552110589581,308842.0
1131,2008,94520,9.0,0.5137829363036459,32345.0
1557,2014,94610,9.0,0.004483382691674809,195368.0
